id,menu_id,page_number,image_id,full_height,full_width,uuid
129,12463,2.0,4000009170,3074.0,2046.0,510d47db-491e-a3d9-e040-e00a18064a99
130,12463,1.0,466928,3049.0,2004.0,510D47DB-491F-A3D9-E040-E00A18064A99
131,12464,2.0,4000009171,3690.0,2888.0,510d47db-4920-a3d9-e040-e00a18064a99
132,12464,1.0,466930,3679.0,2866.0,510d47db-4921-a3d9-e040-e00a18064a99
133,12465,2.0,4000009172,3413.0,2307.0,510d47db-4922-a3d9-e040-e00a18064a99
134,12465,1.0,466931,3411.0,2291.0,510d47db-4923-a3d9-e040-e00a18064a99
135,12466,2.0,4000009173,3352.0,2312.0,510d47db-4924-a3d9-e040-e00a18064a99
136,12466,1.0,466932,3365.0,2305.0,510d47db-4925-a3d9-e040-e00a18064a99
137,12467,2.0,4000009174,3090.0,2102.0,510d47db-4926-a3d9-e040-e00a18064a99
138,12467,3.0,4000009175,3070.0,2114.0,510d47db-4927-a3d9-e040-e00a18064a99
139,12467,4.0,4000009176,3091.0,2230.0,510d47db-4928-a3d9-e040-e00a18064a99
140,12467,1.0,466933,3091.0,2213.0,510d47db-4929-a3d9-e040-e00a18064a99
141,12468,2.0,4000009178,2950.0,1921.0,510d47db-492c-a3d9-e040-e00a18064a99
142,12468,1.0,466935,2957.0,1929.0,510d47db-492d-a3d9-e040-e00a18064a99
143,12469,2.0,4000009180,3593.0,2468.0,510d47db-4930-a3d9-e040-e00a18064a99
144,12469,1.0,466939,3575.0,2485.0,510d47db-4931-a3d9-e040-e00a18064a99
145,12470,2.0,4000009181,3434.0,2305.0,510d47db-4932-a3d9-e040-e00a18064a99
146,12470,1.0,466940,3427.0,2282.0,510d47db-4933-a3d9-e040-e00a18064a99
147,12471,2.0,4000009182,3431.0,2314.0,510d47db-4934-a3d9-e040-e00a18064a99
148,12471,1.0,466941,3454.0,2305.0,510d47db-4935-a3d9-e040-e00a18064a99
149,12472,2.0,4000009183,3076.0,2111.0,510d47db-4936-a3d9-e040-e00a18064a99
150,12472,3.0,4000009184,3054.0,2108.0,510d47db-4937-a3d9-e040-e00a18064a99
151,12472,4.0,4000009185,3060.0,2225.0,510d47db-4938-a3d9-e040-e00a18064a99
152,12472,1.0,466942,3081.0,2220.0,510d47db-4939-a3d9-e040-e00a18064a99
153,12473,2.0,4000009187,2306.0,1808.0,510d47db-493c-a3d9-e040-e00a18064a99
154,12473,1.0,466944,2293.0,1807.0,510d47db-493d-a3d9-e040-e00a18064a99
155,12474,2.0,4000009188,2840.0,2008.0,510d47db-493e-a3d9-e040-e00a18064a99
156,12474,3.0,4000009189,2843.0,2054.0,510d47db-493f-a3d9-e040-e00a18064a99
157,12474,4.0,4000009190,2920.0,2064.0,510d47db-4940-a3d9-e040-e00a18064a99
